,sentiment
186,neutral
187,positive
188,negative
189,neutral
190,neutral
191,positive
192,neutral
193,neutral
194,neutral
195,positive
196,neutral
197,positive
198,positive
199,neutral
200,positive
201,neutral
202,positive
203,neutral
204,neutral
205,positive
206,neutral
207,positive
208,positive
209,neutral
210,positive
211,neutral
212,neutral
213,neutral
214,negative
215,positive
216,neutral
217,neutral
218,neutral
219,neutral
220,positive
221,neutral
222,positive
223,positive
224,neutral
225,neutral
226,negative
227,neutral
228,neutral
229,neutral
230,positive
231,neutral
232,neutral
233,neutral
234,neutral
235,positive
236,positive
237,positive
238,positive
239,neutral
240,positive
241,neutral
242,neutral
243,neutral
244,neutral
245,positive
246,positive
247,positive
248,neutral
249,neutral
250,negative
251,neutral
252,neutral
253,neutral
254,neutral
255,neutral
256,neutral
257,positive
258,negative
259,neutral
260,negative
261,neutral
262,neutral
263,neutral
264,neutral
265,neutral
266,negative
267,neutral
268,neutral
269,neutral
270,negative
271,positive
272,neutral
273,neutral
274,negative
275,positive
276,neutral
277,neutral
278,positive
279,neutral
280,neutral
281,neutral
282,neutral
283,neutral
284,neutral
285,positive
286,neutral
287,neutral
288,neutral
289,neutral
290,neutral
291,neutral
292,neutral
293,neutral
294,positive
295,positive
296,neutral
297,positive
298,neutral
299,neutral
300,neutral
301,positive
302,positive
303,neutral
304,neutral
305,neutral
306,neutral
307,neutral
308,neutral
309,neutral
310,neutral
311,neutral
312,positive
313,positive
314,neutral
315,positive
316,positive
317,positive
318,neutral
319,neutral
320,positive
321,positive
322,neutral
323,neutral
324,neutral
325,neutral
326,neutral
327,neutral
328,neutral
329,neutral
330,positive
331,neutral
332,neutral
333,neutral
334,neutral
335,negative
336,neutral
337,positive
338,negative
339,neutral
340,positive
341,neutral
342,positive
343,neutral
344,neutral
345,positive
346,neutral
347,neutral
348,neutral
349,positive
350,positive
351,positive
352,neutral
353,negative
354,positive
355,neutral
356,positive
357,positive
358,neutral
359,neutral
360,neutral
361,neutral
362,positive
363,neutral
364,neutral
365,neutral
366,neutral
367,positive
368,neutral
369,neutral
370,positive
371,neutral
372,neutral
373,neutral
374,neutral
375,positive
376,neutral
377,positive
378,neutral
379,neutral
380,neutral
381,neutral
382,neutral
383,negative
384,neutral
385,neutral
386,neutral
387,positive
388,neutral
389,neutral
390,positive
391,positive
392,positive
393,neutral
394,neutral
395,neutral
396,neutral
397,neutral
398,neutral
399,neutral
400,positive
401,positive
402,neutral
403,neutral
404,positive
405,negative
406,neutral
407,negative
408,neutral
409,neutral
410,neutral
411,neutral
412,neutral
413,positive
414,neutral
415,negative
416,neutral
417,negative
418,neutral
419,neutral
420,neutral
421,neutral
422,positive
423,neutral
424,negative
425,neutral
426,positive
427,neutral
428,positive
429,neutral
430,neutral
431,neutral
432,neutral
433,positive
434,neutral
435,neutral
436,neutral
437,positive
438,neutral
439,neutral
440,positive
441,neutral
442,neutral
443,positive
444,neutral
445,positive
446,negative
447,neutral
448,positive
449,neutral
450,neutral
451,neutral
452,neutral
453,positive
454,neutral
455,neutral
456,positive
457,negative
458,neutral
459,negative
460,positive
461,neutral
462,neutral
463,positive
464,neutral
465,neutral
466,neutral
467,neutral
468,negative
469,positive
470,neutral
471,neutral
472,positive
473,neutral
474,neutral
475,negative
476,positive
477,positive
478,positive
479,neutral
480,neutral
481,neutral
482,neutral
483,positive
484,neutral
485,neutral
486,positive
487,neutral
488,neutral
489,neutral
490,neutral
491,neutral
492,neutral
493,positive
494,neutral
495,positive
496,neutral
497,positive
498,neutral
499,neutral
500,neutral
501,neutral
502,neutral
503,neutral
504,neutral
505,negative
506,neutral
507,neutral
508,neutral
509,positive
510,neutral
511,neutral
512,positive
513,neutral
514,neutral
515,neutral
516,neutral
517,neutral
518,neutral
519,neutral
520,neutral
521,neutral
522,positive
523,neutral
524,neutral
525,neutral
526,neutral
527,neutral
528,neutral
529,negative
530,negative
531,neutral
532,neutral
533,neutral
534,neutral
535,positive
536,neutral
537,positive
538,negative
539,neutral
540,neutral
541,negative
542,neutral
543,negative
544,neutral
545,neutral
546,neutral
547,neutral
548,neutral
549,neutral
550,positive
551,positive
552,neutral
553,neutral
554,neutral
555,positive
556,neutral
557,positive
558,neutral
559,neutral
560,positive
561,neutral
562,positive
563,positive
564,negative
565,neutral
566,neutral
567,neutral
568,neutral
569,positive
570,positive
571,positive
572,neutral
573,neutral
574,neutral
575,neutral
576,neutral
577,neutral
578,positive
579,neutral
580,neutral
581,positive
582,positive
583,neutral
584,neutral
585,neutral
586,neutral
587,positive
588,neutral
589,positive
590,positive
591,neutral
592,positive
593,positive
594,positive
595,neutral
596,negative
597,neutral
598,negative
599,neutral
600,positive
601,negative
602,neutral
603,neutral
604,positive
605,positive
606,positive
607,positive
608,positive
609,positive
610,neutral
611,neutral
612,neutral
613,neutral
614,neutral
615,neutral
616,negative
617,neutral
618,neutral
619,neutral
620,neutral
621,neutral
622,neutral
623,neutral
624,positive
625,negative
626,neutral
627,negative
628,neutral
629,neutral
630,negative
631,neutral
632,neutral
633,neutral
634,neutral
635,neutral
636,negative
637,negative
638,neutral
639,positive
640,positive
641,neutral
642,positive
643,positive
644,positive
645,positive
646,neutral
647,neutral
648,neutral
649,neutral
650,neutral
651,neutral
652,neutral
653,positive
654,neutral
655,neutral
656,neutral
657,positive
658,neutral
659,neutral
660,neutral
661,neutral
662,neutral
663,positive
664,negative
665,neutral
666,positive
667,neutral
668,positive
669,neutral
670,positive
671,neutral
672,positive
673,neutral
674,positive
675,neutral
676,neutral
677,neutral
678,neutral
679,neutral
680,neutral
681,positive
682,neutral
683,negative
684,neutral
685,neutral
686,neutral
687,neutral
688,neutral
689,neutral
690,neutral
691,neutral
692,neutral
693,neutral
694,positive
695,neutral
696,positive
697,neutral
698,positive
699,neutral
700,positive
701,neutral
702,positive
703,neutral
704,negative
705,neutral
706,positive
707,neutral
708,positive
709,neutral
710,negative
711,neutral
712,neutral
713,positive
714,neutral
715,neutral
716,neutral
717,neutral
718,neutral
719,neutral
720,positive
721,neutral
722,neutral
723,positive
724,positive
725,neutral
726,neutral
727,neutral
728,neutral
729,neutral
730,neutral
731,neutral
732,positive
733,positive
734,neutral
735,positive
736,positive
737,positive
738,neutral
739,positive
740,neutral
741,positive
742,positive
743,positive
744,negative
745,positive
746,neutral
747,neutral
748,neutral
749,negative
750,neutral
751,neutral
752,neutral
753,positive
754,positive
755,neutral
756,neutral
757,neutral
758,neutral
759,neutral
760,neutral
761,negative
762,positive
763,neutral
764,neutral
765,neutral
766,neutral
767,neutral
768,neutral
769,neutral
770,neutral
771,neutral
772,neutral
773,neutral
774,neutral
775,neutral
776,positive
777,neutral
778,neutral
779,neutral
780,neutral
781,neutral
782,negative
783,neutral
784,neutral
785,neutral
786,neutral
787,neutral
788,neutral
789,positive
790,neutral
791,neutral
792,neutral
793,neutral
794,positive
795,neutral
796,neutral
797,neutral
798,negative
799,neutral
800,neutral
801,neutral
802,neutral
803,positive
804,neutral
805,positive
806,positive
807,neutral
808,neutral
809,positive
810,neutral
811,neutral
812,positive
813,neutral
814,neutral
815,positive
816,neutral
817,neutral
818,neutral
819,neutral
820,neutral
821,neutral
822,positive
823,positive
824,neutral
825,positive
826,positive
827,neutral
828,negative
829,neutral
830,neutral
831,positive
832,neutral
833,neutral
834,positive
835,positive
836,neutral
837,positive
838,neutral
839,neutral
840,neutral
841,neutral
842,neutral
843,neutral
844,positive
845,neutral
846,neutral
847,neutral
848,neutral
849,neutral
850,neutral
851,neutral
852,positive
853,neutral
854,neutral
855,positive
856,neutral
857,neutral
858,neutral
859,neutral
860,neutral
861,positive
862,neutral
863,negative
864,positive
865,neutral
866,neutral
867,neutral
868,neutral
869,neutral
870,neutral
871,neutral
872,positive
873,negative
874,neutral
875,neutral
876,neutral
877,positive
878,neutral
879,neutral
880,neutral
881,neutral
882,positive
883,neutral
884,positive
885,positive
886,neutral
887,neutral
888,positive
889,neutral
890,neutral
891,neutral
892,positive
893,neutral
894,negative
895,positive
896,neutral
897,neutral
898,positive
899,neutral
900,positive
901,neutral
902,neutral
903,neutral
904,neutral
905,neutral
906,neutral
907,neutral
908,neutral
909,negative
910,neutral
911,positive
912,positive
913,neutral
914,neutral
915,positive
916,positive
917,neutral
918,neutral
919,neutral
920,neutral
921,neutral
922,neutral
923,neutral
924,neutral
925,neutral
926,neutral
927,positive
928,neutral
929,neutral
930,neutral
931,neutral
932,neutral
933,neutral
934,positive
935,positive
936,positive
937,neutral
938,neutral
939,neutral
940,neutral
941,neutral
942,positive
943,neutral
944,neutral
945,negative
946,positive
947,neutral
948,neutral
949,neutral
950,neutral
951,neutral
952,neutral
953,positive
954,positive
955,positive
956,negative
957,positive
958,neutral
959,neutral
960,negative
961,positive
962,neutral
963,positive
964,neutral
965,neutral
966,neutral
967,neutral
968,neutral
969,neutral
970,neutral
971,neutral
972,positive
973,positive
974,positive
975,neutral
976,neutral
977,neutral
978,neutral
979,neutral
980,neutral
981,positive
982,positive
983,positive
984,neutral
985,neutral
986,neutral
987,neutral
988,positive
989,positive
990,neutral
991,positive
992,neutral
993,neutral
994,neutral
995,neutral
996,neutral
997,neutral
998,neutral
999,neutral
1000,neutral
1001,neutral
1002,positive
1003,neutral
1004,neutral
1005,positive
1006,neutral
1007,neutral
1008,neutral
1009,positive
1010,neutral
1011,neutral
1012,neutral
1013,neutral
1014,negative
1015,neutral
1016,neutral
1017,neutral
1018,neutral
1019,neutral
1020,neutral
1021,neutral
1022,positive
1023,positive
1024,neutral
1025,positive
1026,positive
1027,neutral
1028,negative
1029,neutral
1030,positive
1031,positive
1032,neutral
1033,positive
1034,neutral
1035,neutral
1036,negative
1037,positive
1038,neutral
1039,neutral
1040,neutral
1041,neutral
1042,neutral
1043,positive
1044,neutral
1045,neutral
1046,negative
1047,neutral
1048,neutral
1049,positive
1050,neutral
1051,neutral
1052,negative
1053,neutral
1054,negative
1055,positive
1056,negative
1057,neutral
1058,positive
1059,neutral
1060,neutral
1061,neutral
1062,neutral
1063,neutral
1064,positive
1065,negative
1066,neutral
1067,neutral
1068,neutral
1069,neutral
1070,negative
1071,neutral
1072,positive
1073,neutral
1074,positive
1075,neutral
1076,neutral
1077,neutral
1078,neutral
1079,neutral
1080,neutral
1081,neutral
1082,neutral
1083,neutral
1084,neutral
1085,neutral
1086,neutral
1087,positive
1088,negative
1089,neutral
1090,positive
1091,neutral
1092,neutral
1093,positive
1094,positive
1095,neutral
1096,positive
1097,neutral
1098,positive
1099,neutral
1100,positive
1101,positive
1102,neutral
1103,neutral
1104,positive
1105,neutral
1106,positive
1107,positive
1108,neutral
1109,neutral
1110,neutral
1111,neutral
1112,neutral
1113,positive
1114,neutral
1115,positive
1116,negative
1117,positive
1118,neutral
1119,positive
1120,positive
1121,neutral
1122,neutral
1123,neutral
1124,positive
1125,neutral
1126,positive
1127,positive
1128,positive
1129,positive
1130,neutral
1131,positive
1132,neutral
1133,neutral
1134,neutral
1135,positive
1136,positive
1137,positive
1138,neutral
1139,positive
1140,positive
1141,neutral
1142,positive
1143,neutral
1144,positive
1145,neutral
1146,positive
1147,neutral
1148,neutral
1149,neutral
1150,neutral
1151,neutral
1152,positive
1153,neutral
1154,neutral
1155,neutral
1156,positive
1157,neutral
1158,neutral
1159,neutral
1160,positive
1161,neutral
1162,positive
1163,neutral
1164,neutral
1165,neutral
1166,neutral
1167,neutral
1168,neutral
1169,neutral
1170,neutral
1171,negative
1172,positive
1173,neutral
1174,positive
1175,positive
1176,neutral
1177,neutral
1178,positive
1179,neutral
1180,positive
1181,neutral
1182,positive
1183,positive
1184,neutral
1185,neutral
1186,neutral
1187,positive
1188,neutral
1189,positive
1190,neutral
1191,neutral
1192,neutral
1193,neutral
1194,positive
1195,positive
1196,neutral
1197,positive
1198,positive
1199,neutral
1200,positive
1201,neutral
1202,positive
1203,positive
1204,neutral
1205,neutral
1206,positive
1207,positive
1208,positive
1209,negative
1210,neutral
1211,positive
1212,neutral
1213,neutral
1214,neutral
1215,negative
1216,neutral
1217,neutral
1218,neutral
1219,neutral
1220,positive
1221,positive
1222,neutral
1223,neutral
1224,neutral
1225,neutral
1226,neutral
1227,neutral
1228,positive
1229,neutral
1230,positive
1231,positive
1232,negative
1233,neutral
1234,neutral
1235,neutral
1236,neutral
1237,neutral
1238,neutral
1239,neutral
1240,neutral
1241,positive
1242,positive
1243,neutral
1244,neutral
1245,positive
1246,neutral
1247,neutral
1248,neutral
1249,neutral
1250,neutral
1251,neutral
1252,neutral
1253,neutral
1254,neutral
1255,neutral
1256,neutral
1257,neutral
1258,neutral
1259,positive
1260,neutral
1261,negative
1262,neutral
1263,neutral
1264,negative
1265,positive
1266,positive
1267,neutral
1268,neutral
1269,positive
1270,positive
1271,positive
1272,neutral
1273,neutral
1274,neutral
1275,neutral
1276,positive
1277,neutral
1278,negative
1279,neutral
1280,negative
1281,positive
1282,neutral
1283,positive
1284,positive
1285,neutral
1286,positive
1287,neutral
1288,neutral
1289,neutral
1290,neutral
1291,neutral
1292,neutral
1293,neutral
1294,neutral
1295,positive
1296,neutral
1297,positive
1298,positive
1299,positive
1300,neutral
1301,positive
1302,negative
1303,neutral
1304,neutral
1305,neutral
1306,neutral
1307,positive
1308,positive
1309,positive
1310,neutral
1311,neutral
1312,neutral
1313,positive
1314,neutral
1315,positive
1316,positive
1317,neutral
1318,positive
1319,neutral
1320,neutral
1321,positive
1322,neutral
1323,negative
1324,positive
1325,neutral
1326,neutral
1327,neutral
1328,neutral
1329,neutral
1330,positive
1331,positive
1332,negative
1333,neutral
1334,neutral
1335,neutral
1336,neutral
1337,positive
1338,neutral
1339,positive
1340,positive
1341,positive
1342,positive
1343,positive
1344,neutral
1345,neutral
1346,positive
1347,neutral
1348,positive
1349,positive
1350,neutral
1351,positive
1352,positive
1353,positive
1354,neutral
1355,neutral
1356,positive
1357,positive
1358,negative
1359,positive
1360,neutral
1361,positive
1362,neutral
1363,positive
1364,neutral
1365,neutral
1366,neutral
1367,positive
1368,positive
1369,positive
1370,neutral
1371,positive
1372,positive
1373,positive
1374,neutral
1375,neutral
1376,neutral
1377,neutral
1378,neutral
1379,positive
1380,positive
1381,neutral
1382,neutral
1383,positive
1384,neutral
1385,neutral
1386,neutral
1387,neutral
1388,positive
1389,positive
1390,positive
1391,positive
1392,neutral
1393,neutral
1394,neutral
1395,neutral
1396,neutral
1397,neutral
1398,neutral
1399,neutral
1400,positive
1401,neutral
1402,neutral
1403,positive
1404,neutral
1405,positive
1406,positive
1407,neutral
1408,neutral
1409,positive
1410,negative
1411,neutral
1412,positive
1413,neutral
1414,neutral
1415,positive
1416,neutral
1417,neutral
1418,neutral
1419,neutral
1420,positive
1421,neutral
1422,positive
1423,neutral
1424,positive
1425,positive
1426,positive
1427,neutral
1428,positive
1429,neutral
1430,neutral
1431,neutral
1432,positive
1433,negative
1434,negative
1435,positive
1436,positive
1437,neutral
1438,neutral
1439,negative
1440,negative
1441,neutral
1442,neutral
1443,positive
1444,neutral
1445,positive
1446,neutral
1447,positive
1448,neutral
1449,neutral
1450,neutral
1451,neutral
1452,negative
1453,positive
1454,positive
1455,negative
1456,neutral
1457,positive
1458,neutral
1459,neutral
1460,neutral
1461,positive
1462,positive
1463,positive
1464,positive
1465,positive
1466,neutral
1467,neutral
1468,negative
1469,positive
1470,neutral
1471,neutral
1472,neutral
1473,neutral
1474,positive
1475,neutral
1476,positive
1477,positive
1478,negative
1479,positive
1480,neutral
1481,positive
1482,positive
1483,negative
1484,neutral
1485,positive
1486,neutral
1487,neutral
1488,positive
1489,positive
1490,neutral
1491,negative
1492,neutral
1493,negative
1494,positive
1495,positive
1496,neutral
1497,neutral
1498,neutral
1499,positive
1500,neutral
1501,neutral
1502,neutral
1503,positive
1504,neutral
1505,neutral
1506,neutral
1507,positive
1508,neutral
1509,positive
1510,neutral
1511,negative
1512,neutral
1513,positive
1514,positive
1515,positive
1516,neutral
1517,negative
1518,positive
1519,neutral
1520,positive
1521,positive
1522,neutral
1523,neutral
1524,neutral
1525,neutral
1526,neutral
1527,neutral
1528,positive
1529,neutral
1530,positive
1531,positive
1532,positive
1533,neutral
1534,positive
1535,neutral
1536,positive
1537,positive
1538,negative
1539,neutral
1540,neutral
1541,neutral
1542,neutral
1543,positive
1544,positive
1545,neutral
1546,negative
1547,positive
1548,positive
1549,neutral
1550,neutral
1551,positive
1552,positive
1553,neutral
1554,neutral
1555,neutral
1556,neutral
1557,negative
1558,neutral
1559,positive
1560,neutral
1561,neutral
1562,negative
1563,neutral
1564,neutral
1565,neutral
1566,neutral
1567,neutral
1568,neutral
1569,neutral
1570,negative
1571,neutral
1572,neutral
1573,neutral
1574,neutral
1575,positive
1576,neutral
1577,neutral
1578,neutral
1579,neutral
1580,neutral
1581,negative
1582,neutral
1583,positive
1584,positive
1585,neutral
1586,neutral
1587,negative
1588,neutral
1589,neutral
1590,negative
1591,positive
1592,neutral
1593,neutral
1594,neutral
1595,positive
1596,negative
1597,positive
1598,positive
1599,neutral
1600,neutral
1601,positive
1602,neutral
1603,positive
1604,neutral
1605,neutral
1606,neutral
1607,neutral
1608,positive
1609,positive
1610,positive
1611,positive
1612,positive
1613,neutral
1614,neutral
1615,neutral
1616,negative
1617,neutral
1618,neutral
1619,neutral
1620,neutral
1621,positive
1622,neutral
1623,neutral
1624,positive
1625,neutral
1626,positive
1627,neutral
1628,neutral
1629,neutral
1630,neutral
1631,neutral
1632,neutral
1633,neutral
1634,neutral
1635,neutral
1636,positive
1637,neutral
1638,neutral
1639,positive
1640,neutral
1641,neutral
1642,neutral
1643,neutral
1644,positive
1645,neutral
1646,neutral
1647,neutral
1648,positive
1649,neutral
1650,positive
1651,neutral
1652,neutral
1653,neutral
1654,neutral
1655,neutral
1656,negative
1657,positive
1658,negative
1659,neutral
1660,positive
1661,positive
1662,neutral
1663,neutral
1664,negative
1665,neutral
1666,neutral
1667,neutral
1668,positive
1669,neutral
1670,neutral
1671,positive
1672,neutral
1673,positive
1674,neutral
1675,neutral
1676,neutral
1677,neutral
1678,neutral
1679,neutral
1680,neutral
1681,neutral
1682,neutral
1683,neutral
1684,neutral
1685,neutral
1686,positive
1687,neutral
1688,neutral
1689,positive
1690,positive
1691,neutral
1692,neutral
1693,neutral
1694,neutral
1695,neutral
1696,positive
1697,neutral
1698,neutral
1699,positive
1700,neutral
1701,negative
1702,neutral
1703,neutral
1704,neutral
1705,neutral
1706,positive
1707,positive
1708,neutral
1709,neutral
1710,neutral
1711,neutral
1712,positive
1713,neutral
1714,neutral
1715,neutral
1716,neutral
1717,neutral
1718,positive
1719,neutral
1720,neutral
1721,positive
1722,neutral
1723,neutral
1724,neutral
1725,neutral
1726,negative
1727,neutral
1728,positive
1729,neutral
1730,neutral
1731,neutral
1732,neutral
1733,neutral
1734,neutral
1735,neutral
1736,positive
1737,positive
1738,positive
1739,neutral
1740,neutral
1741,positive
1742,positive
1743,neutral
1744,positive
1745,neutral
1746,neutral
1747,neutral
1748,neutral
1749,positive
1750,neutral
1751,neutral
1752,positive
1753,positive
1754,neutral
1755,positive
1756,neutral
1757,negative
1758,neutral
1759,neutral
1760,neutral
1761,neutral
1762,neutral
1763,positive
1764,neutral
1765,neutral
1766,neutral
1767,neutral
1768,neutral
1769,neutral
1770,neutral
1771,neutral
1772,neutral
1773,neutral
1774,neutral
1775,neutral
1776,neutral
1777,neutral
1778,neutral
1779,negative
1780,neutral
1781,negative
1782,positive
1783,neutral
1784,neutral
1785,neutral
1786,positive
1787,neutral
1788,neutral
1789,neutral
1790,positive
1791,neutral
1792,positive
1793,positive
1794,neutral
1795,neutral
1796,positive
1797,positive
1798,neutral
1799,neutral
1800,neutral
1801,neutral
1802,neutral
1803,negative
1804,neutral
1805,neutral
1806,neutral
1807,positive
1808,neutral
1809,negative
1810,neutral
1811,negative
1812,positive
1813,neutral
1814,neutral
1815,neutral
1816,positive
1817,neutral
1818,neutral
1819,neutral
1820,positive
1821,positive
1822,positive
1823,neutral
1824,neutral
1825,neutral
1826,neutral
1827,neutral
1828,neutral
1829,neutral
1830,neutral
1831,neutral
1832,neutral
1833,neutral
1834,neutral
1835,negative
1836,neutral
1837,positive
1838,positive
1839,positive
1840,positive
1841,neutral
1842,neutral
1843,positive
1844,positive
1845,positive
1846,neutral
1847,neutral
1848,neutral
1849,neutral
1850,positive
1851,neutral
1852,positive
1853,positive
1854,neutral
1855,neutral
1856,negative
1857,neutral
1858,neutral
1859,positive
1860,neutral
1861,neutral
1862,positive
1863,neutral
1864,neutral
1865,neutral
1866,neutral
1867,positive
1868,positive
1869,neutral
1870,neutral
1871,positive
1872,neutral
1873,neutral
1874,neutral
1875,positive
1876,negative
1877,neutral
1878,positive
1879,neutral
1880,neutral
1881,neutral
1882,positive
1883,negative
1884,neutral
1885,positive
1886,neutral
1887,positive
1888,neutral
1889,positive
1890,positive
1891,positive
1892,neutral
1893,neutral
1894,positive
1895,neutral
1896,neutral
1897,neutral
1898,positive
1899,neutral
1900,positive
1901,neutral
1902,neutral
1903,neutral
1904,neutral
1905,neutral
1906,neutral
1907,neutral
1908,neutral
1909,neutral
1910,neutral
1911,positive
1912,neutral
1913,positive
1914,positive
1915,neutral
1916,neutral
1917,neutral
1918,negative
1919,neutral
1920,neutral
1921,neutral
1922,neutral
1923,neutral
1924,neutral
1925,positive
1926,positive
1927,positive
1928,neutral
1929,neutral
1930,neutral
1931,negative
1932,positive
1933,neutral
1934,positive
1935,positive
1936,positive
1937,neutral
1938,positive
1939,neutral
1940,neutral
1941,neutral
1942,neutral
1943,neutral
1944,neutral
1945,positive
1946,neutral
1947,neutral
1948,neutral
1949,positive
1950,neutral
1951,neutral
1952,positive
1953,neutral
1954,positive
1955,neutral
1956,positive
1957,neutral
1958,positive
1959,positive
1960,positive
1961,neutral
1962,neutral
1963,neutral
1964,positive
1965,neutral
1966,neutral
1967,neutral
1968,positive
1969,neutral
1970,negative
1971,neutral
1972,neutral
1973,positive
1974,neutral
1975,negative
1976,neutral
1977,neutral
1978,neutral
1979,neutral
1980,neutral
1981,positive
1982,positive
1983,positive
1984,positive
1985,neutral
1986,positive
1987,neutral
1988,neutral
1989,positive
1990,neutral
1991,neutral
1992,positive
1993,neutral
1994,positive
1995,positive
1996,neutral
1997,neutral
1998,negative
1999,neutral
2000,neutral
2001,neutral
2002,neutral
2003,positive
2004,positive
2005,neutral
2006,neutral
2007,positive
2008,neutral
2009,negative
2010,neutral
2011,positive
2012,positive
2013,neutral
2014,neutral
2015,neutral
2016,positive
2017,neutral
2018,negative
2019,neutral
2020,positive
2021,neutral
2022,positive
2023,neutral
2024,neutral
2025,neutral
2026,positive
2027,positive
2028,neutral
2029,neutral
2030,neutral
2031,positive
2032,neutral
2033,positive
2034,positive
2035,neutral
2036,negative
2037,positive
2038,neutral
2039,neutral
2040,neutral
2041,positive
2042,neutral
2043,neutral
2044,neutral
2045,negative
2046,neutral
2047,negative
2048,neutral
2049,positive
2050,positive
2051,neutral
2052,neutral
2053,positive
2054,neutral
2055,positive
2056,neutral
2057,neutral
2058,neutral
2059,neutral
2060,neutral
2061,positive
2062,neutral
2063,positive
2064,neutral
2065,neutral
2066,negative
2067,positive
2068,positive
2069,negative
2070,neutral
2071,neutral
2072,positive
2073,positive
2074,neutral
2075,neutral
2076,neutral
2077,neutral
2078,neutral
2079,positive
2080,neutral
2081,negative
2082,neutral
2083,positive
2084,neutral
2085,neutral
2086,neutral
2087,positive
2088,neutral
2089,neutral
2090,neutral
2091,positive
2092,neutral
2093,neutral
2094,positive
2095,neutral
2096,neutral
2097,neutral
2098,neutral
2099,neutral
2100,neutral
2101,positive
2102,neutral
2103,neutral
2104,positive
2105,neutral
2106,neutral
2107,positive
2108,negative
2109,neutral
2110,neutral
2111,neutral
2112,neutral
2113,neutral
2114,neutral
2115,neutral
2116,neutral
2117,neutral
2118,neutral
2119,positive
2120,neutral
2121,positive
2122,neutral
2123,neutral
2124,neutral
2125,positive
2126,neutral
2127,neutral
2128,positive
2129,positive
2130,neutral
2131,neutral
2132,positive
2133,neutral
2134,positive
2135,neutral
2136,neutral
2137,negative
2138,negative
2139,neutral
2140,neutral
2141,neutral
2142,positive
2143,neutral
2144,positive
2145,neutral
2146,neutral
2147,neutral
2148,neutral
2149,negative
2150,neutral
2151,neutral
2152,neutral
2153,neutral
2154,neutral
2155,neutral
2156,neutral
2157,neutral
2158,neutral
2159,positive
2160,positive
2161,negative
2162,neutral
2163,neutral
2164,neutral
2165,neutral
2166,neutral
2167,negative
2168,neutral
2169,neutral
2170,positive
2171,neutral
2172,positive
2173,neutral
2174,positive
2175,neutral
2176,neutral
2177,neutral
2178,neutral
2179,neutral
2180,neutral
2181,neutral
2182,neutral
2183,neutral
2184,neutral
2185,neutral
2186,neutral
2187,neutral
2188,neutral
2189,neutral
2190,neutral
2191,positive
2192,neutral
2193,neutral
2194,neutral
2195,neutral
2196,positive
2197,positive
2198,positive
2199,neutral
2200,neutral
2201,negative
2202,neutral
2203,neutral
2204,neutral
2205,neutral
2206,positive
2207,positive
2208,neutral
2209,neutral
2210,neutral
2211,neutral
2212,neutral
2213,positive
2214,positive
2215,positive
2216,neutral
2217,positive
2218,neutral
2219,positive
2220,neutral
2221,neutral
2222,neutral
2223,neutral
2224,neutral
2225,neutral
2226,positive
2227,negative
2228,neutral
2229,positive
2230,negative
2231,neutral
2232,positive
2233,positive
2234,neutral
2235,neutral
2236,positive
2237,neutral
2238,neutral
2239,neutral
2240,neutral
2241,positive
2242,positive
2243,neutral
2244,neutral
2245,neutral
2246,neutral
2247,neutral
2248,positive
2249,neutral
2250,positive
2251,neutral
2252,neutral
2253,neutral
2254,neutral
2255,positive
2256,neutral
2257,neutral
